2026-01-25T12:28:37.843098 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:28:37.843098 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:35:35.865270 START run_configs_and_collect out_prefix=auto_test_rerun2 n_cfgs=6
2026-01-25T12:35:35.868133 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:35:35.876357 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:35:35.884611 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:35:35.886528 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:37:31.652437 START run_configs_and_collect out_prefix=auto_test_rerun2 n_cfgs=6
2026-01-25T12:37:31.672305 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:44:36.629670 START run_configs_and_collect out_prefix=auto_test_h1_final n_cfgs=24
2026-01-25T12:44:36.631420 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:44:43.993290 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:44:44.681065 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:44:44.693114 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:44:45.241633 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:44:45.249759 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:44:45.758334 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:45:05.209055 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:45:07.767062 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:45:07.773588 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:45:10.326444 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
