file,n_docs,batch_size,p@1,p@5,p@10,r@1,r@5,r@10,mrr,query_latency_mean_s,encode_total_s
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_1000000_1769292572.json,1000000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,43.00312423706055
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_100000_1769292486.json,100000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,3.510658025741577
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_10000_1769292457.json,10000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,0.35721254348754883
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_200000_1769292504.json,200000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,6.808526039123535
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_20000_1769292460.json,20000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,0.7331430912017822
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_300000_1769292527.json,300000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,9.701663970947266
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_500000_1769292572.json,500000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,20.548072814941406
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_50000_1769292465.json,50000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,1.762603521347046
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_750000_1769292668.json,750000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,32.1627254486084
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_80000_1769292476.json,80000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,2.73217511177063
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_scaled_H2_relevance_10000_1769294812.json,10000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5634009838104248
